stop_id,stop_code,stop_name,stop_lat,stop_lon
29thSt_W_FillmoreAve,12598,29th & Fillmore,44.575224574,-123.283342331
29thSt_W_GarfieldAve,12624,29th & Garfield,44.58283426,-123.283169055
29thSt_W_GrantAve,12611,29th & Grant,44.578239275,-123.283132502
29thSt_W_MulkeyAve,12580,29th & Mulkey,44.580224589,-123.283155717
29thSt_W_TylerAve,12579,29th & Tyler [Shelter],44.572413003,-123.283502145
2ndAve_S_BakerSt,,2nd & Baker,44.636673,-123.103279
2ndAve_S_ThurstonSt,,2nd & Thurston,44.637444,-123.097359
2ndSt_E_HarrisonBlvd,12757,2nd & Harrison,44.566778456,-123.258348974
2ndSt_E_PolkAve_A,12761,2nd & Polk,44.569297624,-123.257044519
2ndSt_E_PolkAve_B,12774,Holiday Inn Express,44.571463337,-123.255603089
2ndSt_W_JeffersonAve,14413,2nd & Jefferson,44.562492827,-123.260718605
2ndSt_W_MonroeAve,13404,2nd & Monroe,44.564228674,-123.259881804
2ndSt_W_PolkAve,12735,Holiday Inn Express,44.571516214,-123.255866331
2ndSt_W_RenniePl_A,14758,2nd & Rennie,44.573922134,-123.25367056
2ndSt_W_RenniePl_B,12726,2nd & South of Rennie,44.572661731,-123.254864049
2ndSt_W_Tyler,12742,2nd & Polk,44.56851667,-123.257707126
2ndSt_W_VanBurenAve,,2nd & Van Buren [Not Used],44.565864323,-123.259050161
2ndSt_W_WashingtonAve,14409,2nd & Washington,44.559715536,-123.262200345
30thSt_E_ApplegateSt,,30th & Applegate,44.539377607,-123.34037467
30thSt_E_SouthwoodDr,,30th & Southwood,44.535597733,-123.34056402
30thSt_E_SunroseCt,,30th & James,44.541349008,-123.339827855
30thSt_W_ApplegateSt,,30th & Applegate,44.53933659,-123.340655084
30thSt_W_SouthwoodDr,,30th & Southwood,44.535623756,-123.340835839
30thSt_W_SunroseCt,,30th & James,44.541411291,-123.340156754
34thAve_N_CalapooiaSt,,34th & Calapooia,44.610268,-123.106674
34thAve_N_ColumbusSt,,24th & Columbus,44.610535,-123.080093
34thAve_N_HillSt,,34th & Hill,44.61042,-123.089897
34thAve_N_MarionSt,,34th & Marion [Shelter],44.610313,-123.09861
34thAve_N_OakSt,,34th / Oak,44.610466,-123.085464
34thAve_S_FerrySt,,34th & Ferry,44.60997,-123.102058
34thAve_S_PacificBlvd,,34th & Pacific,44.609848,-123.113075
35thSt_E_BirdieDr,11795,35th & Birdie/Adams School [Shelter],44.55253812,-123.289476183
35thSt_E_HilWoodPl,11782,35th & Hil-wood,44.555368136,-123.289492346
35thSt_E_KnollbrookAve,11805,35th & Knollbrook,44.548957846,-123.289547064
36thSt_E_FillmoreAve,14612,36th & Fillmore,44.5760796,-123.29083929
36thSt_E_TylerAve,14608,36th & Tyler,44.572972442,-123.290802959
36thSt_E_WithamHillDr,14620,36th & Witham Hill,44.57813717,-123.290862137
36thSt_W_FillmoreAve,14736,36th & Fillmore,44.575256157,-123.291007544
36thSt_W_LincolnAve,14727,36th & Lincoln,44.576753666,-123.291036921
36thSt_W_PolkAve,14743,36th & Polk,44.573372596,-123.29097878
3rdSt_E_MayberryAve,13560,South 3rd & Mayberry,44.546732333,-123.265597842
3rdSt_E_ParkAve,13539,South 3rd & Park,44.539343791,-123.266185019
3rdSt_E_RichlandAve,13525,South 3rd & Richland,44.542628809,-123.265962234
3rdSt_E_TwinOaksCir,11954,South 3rd & Twin Oaks [Shelter],44.553749719,-123.264746031
3rdSt_W_AlexanderAve,12892,South 3rd & Alexander/Lincoln School,44.544653994,-123.266080588
3rdSt_W_AveryAve,13001,South 3rd & Avery,44.55155539,-123.26536413
3rdSt_W_BridgewayAve,12871,South 3rd & Bridgeway,44.549943599,-123.265519868
3rdSt_W_LillyAve,13017,South 3rd & Lilly,44.548512253,-123.265706881
3rdSt_W_MayberryAve,12885,South 3rd & Mayberry [Shelter],44.546699141,-123.265901427
3rdSt_W_ParkAve,12918,South 3rd & Park,44.539362393,-123.266670026
3rdSt_W_RichlandAve,12902,South 3rd & Richland,44.542171541,-123.266347683
3rdSt_W_TwinOaksCir,12994,South 3rd & Twin Oaks [Shelter],44.553767841,-123.265117853
49thSt_E_CountryClubDr,10137,49th & Country Club,44.546016224,-123.306631653
49thSt_E_RoseberrySt,10163,49th & Roseberry,44.547127862,-123.30661586
49thSt_E_TechnologyLp,10185,49th & Tech Loop [Shelter],44.549036816,-123.308219654
49thSt_W_CountryClubDr,10144,49th & Country Club,44.545905838,-123.306806656
49thSt_W_RoseberrySt,10159,49th & Roseberry,44.547143472,-123.306820026
49thSt_W_TechnologyLp,10171,49th & Tech Loop [Shelter],44.548375121,-123.308380384
4thAve_N_EllsworthSt,,Albany City Hall (4th),44.63493,-123.106117
4thSt_W_MadisonAve,,4th St (btwn Madison & Jefferson),44.563236,-123.262825
4thSt_W_WashingtonAve,12859,4th & Washington [Shelter],44.5609773,-123.263979688
4thSt_W_WesternBlvd,12863,4th & Western,44.559443203,-123.264725087
53rdSt_E_CountryClubDr,,53rd & Country Club,44.54614533,-123.311940057
53rdSt_E_HelenAve,,53rd & Helen,44.552702575,-123.311955325
53rdSt_E_PhilomathBlvd,,53rd & Philomath Blvd,44.550215841,-123.31190494
53rdSt_E_TechnologyLp,,53rd & Technology,44.549246807,-123.311931351
53rdSt_W_CampusWay,10035,53rd at County Fairgrounds,44.566955904,-123.312147799
53rdSt_W_CherryAve,10057,53rd & Cherry,44.560874365,-123.312117015
53rdst_W_CountryClubDr,10116,53rd & Country Club [Shelter],44.546036952,-123.312175893
53rdSt_W_ElRanchoAve,10100,53rd & El Rancho,44.548332906,-123.312191849
53rdSt_W_HarrisonBlvd_A,10019,53rd & Harrison [Shelter],44.570143415,-123.312228242
53rdSt_W_HarrisonBlvd_B,10026,53rd & Redgate,44.568623731,-123.312194047
53rdSt_W_HelenAve,10088,53rd & Helen,44.552731913,-123.312111194
53rdSt_W_PhilomathBlvd,10090,53rd & Philomath Blvd,44.550370104,-123.312148839
53rdSt_W_ReservoirAve,10042,53rd & Reservoir,44.563791618,-123.312168467
53rdSt_W_TechnologyLp,,53rd & Technology (NOT USED),44.54969991,-123.312156731
53rdSt_W_WestHillsRd,10074,53rd & West Hills,44.55613306,-123.312156873
53rdSt_W_WillowAve,10061,53rd & Willow,44.558918952,-123.312058052
5thSt_E_BuchananAve,13721,5th & Buchanan,44.572657014,-123.258944848
5thSt_E_PolkAve,12828,5th & Polk [Shelter],44.570085448,-123.260245479
5thSt_W_BuchananAve,12800,5th & Buchanan,44.57270211,-123.25914699
5thSt_W_HarrisonBlvd,12837,5th & Harrison,44.568251021,-123.26135901
5thSt_W_PolkAve_A,12816,5th & Fillmore,44.570677164,-123.2601151
5thSt_W_PolkAve_B,,5th & Polk,44.56934181,-123.260796164
7thAve_N_ElmSt,,7th / Elm at Albany General Hospital [Shelter],44.631618,-123.114723
